venue	lon	lat	countryCode	place	venueLabel	placeLabel	osm_way	website	address	eventVenueType	eventVenueTypeLabel	osm_node	osm_relation
Q124317236	-2.9276264187112	43.256446859998	ES	Q8692	Sarean	Bilbao		https://sarean.info/	Mariaren Bihotza Plaza, 4, Ibaiondo, Bilbo, Bizkaia	Q1329623	cultural center		
Q124322829	37.553487	55.431003	RU	Q19520	Revolutsionny prospekt 27	Podolsk				Q1329623	cultural center		
Q12432499	16.3139	48.9453	CZ	Q853969	Former synagogue in Miroslav	Znojmo District			v Radniční ulice	Q1329623	cultural center		
Q124325864	28.63477	44.1807	RO	Q79808	Casa de Cultură a Sindicatelor Constanța	Constanța				Q1329623	cultural center		
Q124330836			EE		Nooruse Maja					Q1329623	cultural center		
Q124332479	-99.219697390183	19.356731581069	MX	Q1489	Axolotitlán	Mexico City		https://museodelaxolote.org.mx/	Prol. 5 de Mayo 521, 2do Parque las Águilas, Álvaro Obregón, 01750	Q1329623	cultural center		
Q124334129	-2.9917942245828	43.297217747407	ES	Q487801	Libreramente	Barakaldo		https://www.libreramente.com	C/ La Bondad, 5	Q1329623	cultural center		
Q124352324	54.022	26.543972222222	IR	Q10321288	Kish International Convention Center	Kish				Q1378975	convention center		
Q124353606	34.8099234	31.9059032	IL	Q207350	Schmidt Hall	Rehovot		https://www.weizmann.ac.il/ConstructionEngineering/catalog/collaboration-spaces/gerhard-schmidt-lecture-hall		Q230752	auditorium		
Q124353606	34.8099234	31.9059032	IL	Q207350	Schmidt Hall	Rehovot		https://www.weizmann.ac.il/ConstructionEngineering/catalog/he/collaboration-spaces/gerhard-schmidt-lecture-hall		Q230752	auditorium		
Q124362244	4.37714	50.84328	BE	Q239	Realex	City of Brussels				Q1378975	convention center		
