venue	lon	lat	countryCode	place	venueLabel	placeLabel	osm_way	website	address	eventVenueType	eventVenueTypeLabel	osm_node	osm_relation
Q125547829	-84.713527777778	43.60275	US	Q74628	Ziibiwing Center of Anishinabe Culture & Lifeways	Isabella County		http://www.sagchip.org/ziibiwing/	6650 E. Broadway, Mt. Pleasant, MI 48858	Q1378975	convention center		
Q125547829	-84.713527777778	43.60275	US	Q74628	Ziibiwing Center of Anishinabe Culture & Lifeways	Isabella County		http://www.sagchip.org/ziibiwing/	6650 E. Broadway, Mt. Pleasant, MI 48858	Q1329623	cultural center		
Q125554414	12.4925	51.1241	DE	Q10744	Kulturhaus der Gewerkschaften DSF	Borna			Angerstraße, 04552 Borna	Q1329623	cultural center		
Q125554414	12.4925	51.1241	DE	Q10744	Kulturhaus der Gewerkschaften DSF	Borna			Puschkinstraße, 8301 Borna	Q1329623	cultural center		
Q125554508	8.59933	49.12438	DE	Q7059	Bürgerzentrum Bruchsal	Bruchsal		https://bruchsal-erleben.de/buergerzentrum/	Am Alten Schloß 22, 76646 Bruchsal	Q1378975	convention center	1184177035	
Q125554508	8.59933	49.12438	DE	Q7059	Bürgerzentrum Bruchsal	Bruchsal		https://bruchsal-erleben.de/buergerzentrum/	Am Alten Schloß 22, 76646 Bruchsal	Q1329623	cultural center	1184177035	
Q125554591	10.271001	47.4573174	DE	Q532046	Kurhaus Fiskina	Fischen im Allgäu		https://www.fiskina.de/	Am Anger 15, 87538 Fischen im Allgäu	Q1378975	convention center		
Q125556053	12.956634867578	48.830987911999	DE	Q16083	Stadthallen Deggendorf	Deggendorf		https://www.deggendorfer-stadthallen.de/	Edlmairstraße 2, 94469 Deggendorf	Q1378975	convention center		
Q125556053	12.956634867578	48.830987911999	DE	Q16083	Stadthallen Deggendorf	Deggendorf		https://www.deggendorfer-stadthallen.de/	Edlmairstraße 2, 94469 Deggendorf	Q1329623	cultural center		
Q125558493	13.151180543628	50.766176251248	DE	Q57776	Deutsches Haus	Grünhainichen			Chemnitzer Straße 57, 09579 Grünhainichen	Q1329623	cultural center		
Q125565889	6.5321238430627	51.438362670867	DE	Q162771	Kulturhalle Neukirchen-Vluyn	Neukirchen-Vluyn		https://www.kulturhalle-kuca.de/	Von-der-Leyen-Platz 1, 47506 Neukirchen-Vluyn	Q1329623	cultural center		
Q125566266	8.79938	53.22443	DE	Q16141	Kleinbahnhof Osterholz-Scharmbeck	Osterholz-Scharmbeck		https://kuz-ohz.de/	Am Kleinbahnhof 1, 27711 Osterholz-Scharmbeck	Q1329623	cultural center		
Q125566312	11.346215652126	48.169953536233	DE	Q254778	Puchheimer Kulturcentrum	Puchheim		https://www.puc-puchheim.de/	Oskar-Maria-Graf-Straße 2, 82178 Puchheim	Q1329623	cultural center		
Q125566599	8.1763431296845	47.818757948141	DE	Q523245	Kurhaus Schluchsee	Schluchsee			Eschenweg, 79859 Schluchsee	Q1378975	convention center		
Q125566985	9.32099254098	48.831820549399	DE	Q4140	Bürgerzentrum Wabilingen	Waiblingen		https://www.buergerzentrum-waiblingen.de/	An der Talaue 4, 71334 Waiblingen	Q1329623	cultural center		
Q125567411	-73.607923146049	45.550324802536	CA	Q340	Théâtre aux Écuries	Montréal			7285 Chabot, Montréal (Québec) Canada  H2E 2K7	Q230752	auditorium		
Q125567463	-73.20541731259	45.560377361955	CA	Q138841	L'Arrière Scène	Beloeil			600 Rue Richelieu, Beloeil, Quebec J3G 5E8	Q230752	auditorium		
Q125567477	-72.536762007193	46.343795457776	CA	Q44012	La Fabrique de théâtre insolite	Trois-Rivières			787 Rue des Ursulines, Trois-Rivières, QC G9A 5B5	Q230752	auditorium		
Q125567493	-73.566959304487	45.465001682298	CA	Q518076	Promenades Wellington	Verdun			266 Rue Hickson, Verdun, QC H4G 2J6	Q230752	auditorium		
Q125573929	-75.7110053	45.4275998	CA	Q141844	Maison du Citoyen (Gatineau)	Gatineau				Q17000321	Stadthalle		
Q125620453	130.42275	33.592416666667	JP	Q109367276	Fukuoka City Katakasu Public Hall	Hakata-eki-higashi			812-0013福岡市博多区博多駅東一丁目8番2号	Q1329623	cultural center		
Q125620453	130.42275	33.592416666667	JP	Q109367276	Fukuoka City Katakasu Public Hall	Hakata-eki-higashi			8-2, Hakata-eki-higashi 1-chōme, Hakata-ku, Fukuoka City 812-0013	Q1329623	cultural center		
Q125658423			US		Cobo Conference & Exhibition Center				1 Washington Boulevard., 2nd Fl, Detroit, Michigan, 48226, United States	Q1378975	convention center		
Q125692132	25.264206774236	54.679332169003	LT	Q216	Teatras Vilniaus klasika	Vilnius			Vytenio g. 6, Vilnius	Q1329623	cultural center		
Q125698085	-76.130825808186	43.040298532322	US	Q128069	Menschel Media Center	Syracuse			316 Waverly Ave	Q1329623	cultural center		
Q125739665	11.46827	60.12211	NO	Q488026	Nes Kulturhus	Nes Municipality		https://www.neskulturhus.no	Skolegata 10, 2150 Årnes	Q230752	auditorium		
Q125749203	11.3059	49.32529	DE	Q2497532	Haus der Musik	Unterferrieden		https://www.mufo-burgthann.de/	Lindelburger Straße 9, 90559 Burgthann	Q230752	auditorium		
Q125759211	6.8298334547144	47.105722673786	CH		The ABC culture center			https://www.abc-culture.ch/	Rue du Coq 11	Q1329623	cultural center		
Q125808447	35.1266434	32.7122817	IL	Q1743479	Kiryat Tiv'on municipal library	Kiryat Tiv'on		https://tivon-lib.co.il/		Q1329623	cultural center		
Q125849194	-58.371206239084	-34.623489108487	AR	Q1486	Pulpería Quilapán	Buenos Aires		https://pulperiaquilapan.com	Defensa 1344 Ciudad Autónoma de Buenos Aires	Q1329623	cultural center		
Q125872511	34.636820990287	31.792484831511	IL	Q171639	Centre d'arts Monart	Ashdod			רחוב דרך ארץ 8, אשדוד	Q1329623	cultural center		
Q125872511	34.636820990287	31.792484831511	IL	Q171639	Centre d'arts Monart	Ashdod			8 Derech Eretz Street, Ashdod	Q1329623	cultural center		
Q125912237	-121.48569444444	38.578916666667	US	Q18013	Sacramento Memorial Auditorium	Sacramento			1515 J Street	Q230752	auditorium		
Q125912255	51.394888888889	35.797833333333	IR	Q5377769	Shahid Beheshti University International Conference Center	District 1		http://www.sbuicci.ir/		Q1378975	convention center		
Q125940521			IE	Q129610	Galway Arts Centre	Galway		https://www.galwayartscentre.ie/		Q1329623	cultural center		
Q125944508	-95.911667	45.111389	US	Q1924803	Arv Hus Museum	Milan			228 Main Street, Milan, Minnesota	Q1329623	cultural center		
Q125946076	0.26388485553571	51.133390915646			The Amelia			https://theamelia.co.uk		Q1329623	cultural center		
Q125948491			CN	Q174091	Changsha International Conference Center	Changsha		http://www.changshaicc.cn/		Q1378975	convention center		
Q125952181	-110.68034	50.03976	CA	Q368241	Esplanade Arts and Heritage Centre Studio Theatre	Medicine Hat			401 First St SE	Q230752	auditorium		
Q125952254	-110.68034	50.03976	CA	Q368241	Esplanade Arts and Heritage Centre Main Stage Theatre	Medicine Hat			401 First St SE	Q230752	auditorium		
Q125969982	3.352052	7.135286	NG	Q836657	June 12 Cultural Centre Abeokuta	Ogun State			Close to Kuto Bus Stop, nearby Park Inn By Radisson Hotel, Kuto, Abeokuta, Nigeria	Q1329623	cultural center		
Q125997789	-106.492	31.758	US	Q16562	El Paso Convention Center	El Paso			C St, El Paso, TX 79901, United States	Q1378975	convention center		
Q12606769	128.61313888889	35.907083333333	KR	Q50393	EXCO	Buk District				Q1378975	convention center		
Q126087380	106.55792166667	29.5360175	CN	Q713491	Chongqing International Convention & Exhibition Center	Nan'an District				Q1378975	convention center		
Q1260884	6.84654	51.4727	DE	Q2838	Druckluft	Oberhausen		http://www.drucklufthaus.de/	Am Förderturm 27, 46049 Oberhausen	Q1329623	cultural center		
Q12609133	129.327	35.5429	KR		Ulsan Culture & Arts Center					Q1378975	convention center		
Q126100128	-6.44778	6.89106	CI	Q860304	cultural center of Daloa	Daloa				Q1329623	cultural center		
Q126105690	17.454013888889	14.704036944444	SN		YENNENGA CENTER			https://www.centreyennenga.com/	Rue GD 62, Dakar, Sénégal	Q1329623	cultural center		
Q126126028	-99.1466	19.39405	MX	Q2356998	Parque del Muralismo Mexicano	Benito Juárez		https://parquemuralismomexicano.mx/proyecto/		Q1329623	cultural center		
Q126136107	10.80046	50.27632	DE	Q1601702	Sprudelhalle	Heldburg				Q1329623	cultural center		
Q126170740	-2.4456084221989	42.467639757798	ES	Q14325	Centro de la Cultura del Rioja	Logroño		https://www.centrodelaculturadelrioja.es/		Q1329623	cultural center		
Q126171876	11.665560273437	48.065009786074	DE	Q506388	Wolf-Ferrari-Haus	Ottobrunn		https://wfh-ottobrunn.de/	Rathausplatz 2, 85521 Ottobrunn	Q1329623	cultural center		
Q126184532	-123.09791	49.28207	CA	Q24639	Mainstage Theatre	Vancouver			280 E Cordova St, Vancouver, BC	Q230752	auditorium		
Q126184993	-123.09791	49.28207	CA	Q24639	Rehearsal Studio	Vancouver			280 E Cordova St, Vancouver, BC	Q230752	auditorium		
Q12618688			KR	Q243327	Changwon Exhibition Convention Center	Changwon		http://ceco.co.kr/		Q1378975	convention center		
Q126209120	-2.050342	43.203647		Q576753	Txantxa-Enea (Aduna)	Aduna				Q1329623	cultural center		
Q126261347			IT	Q1449	"Town hall in Palazzo Albini called ""Sala rossa"""	Genoa				Q230752	auditorium		
Q126360742	-79.36603	43.65905	CA	Q172	Mimi Hernndorf Studio Theatre	Toronto			304 Parliament St, Toronto, Ontario	Q230752	auditorium		
Q126369617	-113.48747	53.51397	CA	Q2096	Mile Zero Dance Warehouse	Edmonton			9931 78 Ave NW, Edmonton, Alberta	Q230752	auditorium		
Q126370559	-114.01915	51.05932	CA	Q36312	Evergreen Community Spaces	Calgary		https://www.ecspaces.com	#2 1709 8th Ave NE, Calgary, Alberta	Q1329623	cultural center		
Q126371109	-114.01915	51.05932	CA	Q36312	Grand Oak Studio & Showroom	Calgary			#2 1709 8th Ave NE, Calgary, Alberta	Q230752	auditorium		
Q126392936	2.34849	48.8517	FR	Q238723	Hôtel de la Bûcherie	5th arrondissement of Paris			13-15 rue de la Bûcherie 75005 Paris	Q230752	auditorium		
Q126392936	2.34849	48.8517	FR	Q238723	Hôtel de la Bûcherie	5th arrondissement of Paris			13-15 rue de la Bûcherie 75005 Paris	Q253275	lecture hall		
